molecule_chembl_id,canonical_smiles,standard_value,class
CHEMBL463210,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,1830.0,intermediate
CHEMBL2252723,CCOP(=O)(OCC)SCCCCCCCCCCN1C(=O)c2ccccc2C1=O,112720.0,inactive
CHEMBL2252722,CCOP(=O)(OCC)SCCCCCCCCCN1C(=O)c2ccccc2C1=O,37500.0,inactive
CHEMBL2252721,CCOP(=O)(OCC)SCCCCCCCCN1C(=O)c2ccccc2C1=O,4500.0,intermediate
CHEMBL2252851,CCOP(=O)(OCC)SCCCCCCCN1C(=O)c2ccccc2C1=O,1840.0,intermediate
CHEMBL2252850,CCOP(=O)(OCC)SCCCCCCN1C(=O)c2ccccc2C1=O,3810.0,intermediate
CHEMBL2252849,CCOP(=O)(OCC)SCCCCCN1C(=O)c2ccccc2C1=O,12340.0,inactive
CHEMBL2252848,CCOP(=O)(OCC)SCCCCN1C(=O)c2ccccc2C1=O,9920.0,intermediate
CHEMBL2252847,CCOP(=O)(OCC)SCCCN1C(=O)c2ccccc2C1=O,8290.0,intermediate
CHEMBL2252846,CCOP(=O)(OCC)SCCCCCCCCCCSP(=O)(OCC)OCC,1760.0,intermediate
CHEMBL2252845,CCOP(=O)(OCC)SCCCCCCCCCSP(=O)(OCC)OCC,1430.0,intermediate
CHEMBL2252844,CCOP(=O)(OCC)SCCCCCCCCSP(=O)(OCC)OCC,4840.0,intermediate
CHEMBL2252843,CCOP(=O)(OCC)SCCCCCCCSP(=O)(OCC)OCC,10200.0,inactive
CHEMBL2252842,CCOP(=O)(OCC)SCCCCCCSP(=O)(OCC)OCC,870.0,active
CHEMBL2252841,CCOP(=O)(OCC)SCCCCCSP(=O)(OCC)OCC,12340.0,inactive
CHEMBL2252840,CCOP(=O)(OCC)SCCCCSP(=O)(OCC)OCC,8070.0,intermediate
CHEMBL2252724,CCOP(=O)(OCC)SCCCSP(=O)(OCC)OCC,1640.0,intermediate
CHEMBL1232328,CCOP(O)(=S)OCC,40000000.0,inactive
